Ubl Fdl Rfu	[Uw': [U' r' U, l']]
Ubl Fdl Ubr	[x U: [l, U r' U']]
Ubl Fdl Ufl	[U' x: [l, U' r' U]]
Ubl Fdl Ufr	[Rw' U': [U' r U, l']]
Ubl Fdr Bdl	[F': [l, U r U']]
Ubl Fdr Bdr	[x' D': [r2, U' l' U]]
Ubl Fdr Blu	[U': [l, U' r U]]
Ubl Fdr Bru	[U' x': [r2, U l' U']]
Ubl Fdr Dbl	[U': [l2, U' r U]]
Ubl Fdr Dbr	[U' D: [l2, U' r U]]
Ubl Fdr Dfl	[D' U': [l2, U' r U]]
Ubl Fdr Dfr	[x U': [U' l U, r]]
Ubl Fdr Lbd	[Rw U: [r d' r', U2]]
Ubl Fdr Lbu	[Rw: [U2, r u r']]
Ubl Fdr Ldf	[r U2 r', d]
Ubl Fdr Lfu	[F': [r U r', u']]
Ubl Fdr Rbd	[r U2 r', d']
Ubl Fdr Rbu	[Uw': [l, U' r U]]
Ubl Fdr Rdf	[Rw: [U2, r u' r']]
Ubl Fdr Rfu	[Rw U: [r' u r, U2]]
Ubl Fdr Ubr	[x U': [U' l U, r']]
Ubl Fdr Ufl	[y': [r' d' r, U']]
Ubl Fdr Ufr	[y' U: [r' d' r, U2]]
Ubl Flu Bdl	[F: [l, U r U']]
Ubl Flu Bdr	[U r' U', l']
Ubl Flu Blu	[F: [r U r', u2]]
Ubl Flu Bru	[u2, r' U2 r]
Ubl Flu Dbl	[D2: [U r2 U', l']]
Ubl Flu Dbr	[D': [U r2 U', l']]
Ubl Flu Dfl	[D: [U r2 U', l']]
Ubl Flu Dfr	[U r2 U', l']
Ubl Flu Lbd	[z: [u, r U r']]
Ubl Flu Lbu	[U: [l' U' l, u']]
Ubl Flu Ldf	[z: [u, r U2 r']]
Ubl Flu Lfu	[F: [r U r', u']]
Ubl Flu Rbd	[R': [Uw r Uw', l']]
Ubl Flu Rbu	[Uw r Uw', l']
Ubl Flu Rdf	[R2: [Uw r Uw', l']]
Ubl Flu Rfu	[Rw: [Uw r Uw', l']]
Ubl Flu Ubr	[Rw': [U r U', l']]
Ubl Flu Ufl	[Uw': [r u' r', U']]
Ubl Flu Ufr	[r u2 r', U2]
Ubl Fru Bdl	[l, U r U']
Ubl Fru Bdr	[x': [r2, U' l' U]]
Ubl Fru Blu	[r U r', u2]
Ubl Fru Bru	[x' U': [r2, U' l' U]]
Ubl Fru Dbl	[D: [l2, U r U']]
Ubl Fru Dbr	[D2: [l2, U r U']]
Ubl Fru Dfl	[l2, U r U']
Ubl Fru Dfr	[D': [l2, U r U']]
Ubl Fru Lbd	[Rw: [U, r d' r']]
Ubl Fru Lbu	[U: [Uw' l' Uw, r]]
Ubl Fru Ldf	[L': [r U r', u']]
Ubl Fru Lfu	[r U r', u']
Ubl Fru Rbd	[R': [r U r', u]]
Ubl Fru Rbu	[r U r', u]
Ubl Fru Rdf	[R2: [r U r', u]]
Ubl Fru Rfu	[R: [r U r', u]]
Ubl Fru Ubr	[Lw: [r, U' l' U]]
Ubl Fru Ufl	[Uw: [U, r' u' r]]
Ubl Fru Ufr	[Uw: [U2, r' u' r]]
Ubl Lbd Bdl	[z u: [u, r U r']]
Ubl Lbd Bdr	[d', r' U r]
Ubl Lbd Blu	[z R': [r' U2 r, u']]
Ubl Lbd Bru	[L: [u, r' U2 r]]
Ubl Lbd Dbl	[U l': [d, l' U2 l]]
Ubl Lbd Dbr	[3Uw': [U' r2 U, l']]
Ubl Lbd Dfl	[z u: [u2, r U r']]
Ubl Lbd Dfr	[y': [U' r2 U, l']]
Ubl Lbd Fdl	[z: [Uw r Uw', l']]
Ubl Lbd Fdr	[Rw U: [U2, r d' r']]
Ubl Lbd Flu	[z: [r U r', u]]
Ubl Lbd Fru	[Rw: [r d' r', U]]
Ubl Lbd Rbd	[R d': [r' U r, d2]]
